"filename", "language", "Rust", "Markdown", "TOML", "comment", "blank", "total"
"d:\Git\music_api\Cargo.lock", "TOML", 0, 0, 2308, 2, 263, 2573
"d:\Git\music_api\Cargo.toml", "TOML", 0, 0, 37, 1, 3, 41
"d:\Git\music_api\examples\online.rs", "Rust", 33, 0, 0, 10, 4, 47
"d:\Git\music_api\examples\sql.rs", "Rust", 43, 0, 0, 9, 4, 56
"d:\Git\music_api\readme.md", "Markdown", 0, 19, 0, 0, 14, 33
"d:\Git\music_api\src\factory\mod.rs", "Rust", 2, 0, 0, 0, 1, 3
"d:\Git\music_api\src\factory\online_factory\aggregator_search.rs", "Rust", 197, 0, 0, 0, 14, 211
"d:\Git\music_api\src\factory\online_factory\mod.rs", "Rust", 4, 0, 0, 0, 3, 7
"d:\Git\music_api\src\factory\online_factory\musiclist_online.rs", "Rust", 106, 0, 0, 1, 9, 116
"d:\Git\music_api\src\factory\sql_factory\db_action.rs", "Rust", 126, 0, 0, 18, 18, 162
"d:\Git\music_api\src\factory\sql_factory\mod.rs", "Rust", 37, 0, 0, 20, 13, 70
"d:\Git\music_api\src\factory\sql_factory\music_action.rs", "Rust", 508, 0, 0, 33, 61, 602
"d:\Git\music_api\src\factory\sql_factory\musicdata_action.rs", "Rust", 133, 0, 0, 8, 14, 155
"d:\Git\music_api\src\factory\sql_factory\musiclist_action.rs", "Rust", 272, 0, 0, 18, 24, 314
"d:\Git\music_api\src\factory\sql_factory\sql_musiclist.rs", "Rust", 27, 0, 0, 0, 7, 34
"d:\Git\music_api\src\factory\sql_factory\util.rs", "Rust", 0, 0, 0, 0, 2, 2
"d:\Git\music_api\src\filter.rs", "Rust", 49, 0, 0, 1, 5, 55
"d:\Git\music_api\src\lib.rs", "Rust", 15, 0, 0, 1, 2, 18
"d:\Git\music_api\src\music.rs", "Rust", 84, 0, 0, 19, 11, 114
"d:\Git\music_api\src\music_aggregator\mod.rs", "Rust", 76, 0, 0, 20, 18, 114
"d:\Git\music_api\src\music_aggregator\music_aggregator_online.rs", "Rust", 203, 0, 0, 3, 21, 227
"d:\Git\music_api\src\music_aggregator\music_aggregator_sql.rs", "Rust", 336, 0, 0, 16, 30, 382
"d:\Git\music_api\src\music_list.rs", "Rust", 49, 0, 0, 0, 6, 55
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_album.rs", "Rust", 134, 0, 0, 0, 19, 153
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_lyric.rs", "Rust", 49, 0, 0, 0, 8, 57
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_music.rs", "Rust", 307, 0, 0, 3, 31, 341
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_music_info.rs", "Rust", 36, 0, 0, 0, 7, 43
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_music_list.rs", "Rust", 172, 0, 0, 0, 23, 195
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_pic.rs", "Rust", 20, 0, 0, 0, 3, 23
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_quality.rs", "Rust", 59, 0, 0, 0, 5, 64
"d:\Git\music_api\src\platform_integrator\kuwo\kuwo_search.rs", "Rust", 70, 0, 0, 6, 13, 89
"d:\Git\music_api\src\platform_integrator\kuwo\mod.rs", "Rust", 14, 0, 0, 0, 2, 16
"d:\Git\music_api\src\platform_integrator\kuwo\util.rs", "Rust", 15, 0, 0, 0, 1, 16
"d:\Git\music_api\src\platform_integrator\mod.rs", "Rust", 5, 0, 0, 0, 2, 7
"d:\Git\music_api\src\platform_integrator\utils\mod.rs", "Rust", 25, 0, 0, 7, 4, 36
"d:\Git\music_api\src\platform_integrator\wangyi\encrypt.rs", "Rust", 164, 0, 0, 10, 26, 200
"d:\Git\music_api\src\platform_integrator\wangyi\mod.rs", "Rust", 15, 0, 0, 0, 3, 18
"d:\Git\music_api\src\platform_integrator\wangyi\request.rs", "Rust", 12, 0, 0, 0, 3, 15
"d:\Git\music_api\src\platform_integrator\wangyi\wy_album.rs", "Rust", 87, 0, 0, 1, 11, 99
"d:\Git\music_api\src\platform_integrator\wangyi\wy_lyric.rs", "Rust", 84, 0, 0, 2, 6, 92
"d:\Git\music_api\src\platform_integrator\wangyi\wy_music.rs", "Rust", 592, 0, 0, 89, 31, 712
"d:\Git\music_api\src\platform_integrator\wangyi\wy_music_detail.rs", "Rust", 56, 0, 0, 1, 7, 64
"d:\Git\music_api\src\platform_integrator\wangyi\wy_musiclist.rs", "Rust", 202, 0, 0, 12, 23, 237
"d:\Git\music_api\src\platform_integrator\wangyi\wy_search.rs", "Rust", 77, 0, 0, 2, 13, 92
"d:\Git\music_api\src\util.rs", "Rust", 76, 0, 0, 0, 7, 83
"Total", "-", 4571, 19, 2345, 313, 795, 8043
